"","X1","geo","affgeoid","PubTrans_16","MeanTime_16","UnempRate_16","OnlyHighSchool_16","OnlyBachelors_16","OnlyGraduate_16","VacancyPercent_16","RentalVacancyRate_16","MedianValue_16","RentMedian_16","MedianIncome_16","Median_income","LogUnempRate_16","LogRentalVacancy_16","LogVacancyRate_16","LogGraduate_16","LogBachelors_16","LogPubTrans_16","LogMedianValue_16","QuantPubTrans_16","QuantMeanTime_16","QuantUnempRate_16","QuantOnlyHighSchool_16","QuantOnlyBachelors_16","QuantOnlyGraduate_16","QuantVacancyPercent_16","QuantRentalVacancyRate_16","QuantMedianValue_16","QuantRentMedian_16","QuantMedianIncome_16","TractNumber","Nickname","HigherEd","QuantHigherEd"
"11",11,"Census Tract 209, Hawaii County, Hawaii",15001020900,1e-05,16.7,2,25.3,23.7,12.9,9.8,11.1,365700,1270,67017,NA,0.693147181,2.406945108,2.282382386,2.557227311,3.165475048,-11.51292546,12.8095686,0.030342232,0.05062919,0.115371046,0.452134541,0.526343643,0.613312948,0.62372104,0.863459955,0.105492179,0.165118194,0.253557568,209,"Hilo: Haihai",36.6,0.594366197183099
"12",12,"Census Tract 210.03, Hawaii County, Hawaii",15001021003,1.1,32.5,14.3,40.5,9.8,5.9,9.7,2.6,171000,1004,32199,NA,2.660259537,0.955511445,2.272125886,1.774952351,2.282382386,0.09531018,12.04941884,0.092849583,0.585675644,0.861343055,0.829471951,0.107021051,0.246971657,0.62119252,0.544043279,0.013524638,0.04492532,0.007997177,210.03,"Orchidland-Ainaloa",15.7,0.109859154929577
"13",13,"Census Tract 210.05, Hawaii County, Hawaii",15001021005,0.4,31.8,3.3,30.8,22.4,7.1,11.7,4.6,244400,1123,46489,NA,1.193922468,1.526056303,2.459588842,1.960094784,3.109060959,-0.916290732,12.40656151,0.067211572,0.558155945,0.262671998,0.643067153,0.483946842,0.32500294,0.705809714,0.632482653,0.028107727,0.078795719,0.05656827,210.05,"Hawaiian Paradise Park",29.5,0.430985915492958
"14",14,"Census Tract 210.10, Hawaii County, Hawaii",15001021010,1e-05,31,10,35.7,11.9,7.9,23.7,6.5,177500,1003,30378,NA,2.302585093,1.871802177,3.165475048,2.066862759,2.4765384,-11.51292546,12.08672589,0.030342232,0.537633776,0.800893802,0.770904387,0.144537222,0.37457368,0.854639539,0.701928731,0.013642244,0.044807715,0.007761966,210.1,"Upper Puna (Puna Mauka)",19.8,0.188732394366197
"15",15,"Census Tract 210.11, Hawaii County, Hawaii",15001021011,1.8,34,2.9,31.9,10.9,21.8,25.8,9.2,200400,1125,44227,NA,1.064710737,2.219203484,3.250374492,3.08190997,2.388762789,0.587786665,12.20807065,0.183699871,0.666235446,0.196636481,0.675055863,0.128425262,0.807126896,0.862225097,0.783311772,0.015523933,0.080383394,0.037751382,210.11,"Volcano-Mt. View",32.7,0.501408450704225
"16",16,"Census Tract 210.13, Hawaii County, Hawaii",15001021013,3.9,27.5,8.5,33.8,14.7,5.1,9.6,0.6,283500,1125,51329,NA,2.140066163,-0.510825624,2.261763098,1.62924054,2.687847494,1.360976553,12.5549674,0.38792191,0.352287428,0.737033988,0.720334,0.196754087,0.222333294,0.614253793,0.489944725,0.036104904,0.080383394,0.084793602,210.13,"Kea‰Û÷au",19.8,0.185915492957746
"17",17,"Census Tract 211.01, Hawaii County, Hawaii",15001021101,1e-05,34.1,14.4,24.7,23.6,14,26.8,3.9,227300,941,27736,NA,2.667228207,1.360976553,3.288401888,2.63905733,3.161246712,-11.51292546,12.33402601,0.030342232,0.677643185,0.861460661,0.428554628,0.525108785,0.639891803,0.871104316,0.600435141,0.027872516,0.032811949,0.005997883,211.01,"Kalapana-Kapoho",37.6,0.623943661971831
"18",18,"Census Tract 211.06, Hawaii County, Hawaii",15001021106,3.2,32.1,18.9,33.3,10.5,9.8,24.1,5.6,190500,1088,28149,NA,2.939161922,1.722766598,3.18221184,2.282382386,2.351375257,1.16315081,12.15740747,0.306068446,0.561684111,0.909796542,0.692990709,0.125661531,0.448135952,0.854757145,0.659296719,0.015406327,0.07309185,0.006115489,211.06,"Pahoa",20.3,0.195774647887324
"19",19,"Census Tract 212.02, Hawaii County, Hawaii",15001021202,6.2,42.7,12.1,39.6,11.2,3.7,31.6,9.5,156700,942,40465,NA,2.493205453,2.251291799,3.453157121,1.30833282,2.415913778,1.824549292,11.96208843,0.589321416,0.856168411,0.845113489,0.821239563,0.129836528,0.156003763,0.883100082,0.790074091,0.000117606,0.032929554,0.026226038,212.02,"Ka‰Û÷u",14.9,0.104225352112676
"20",20,"Census Tract 213, Hawaii County, Hawaii",15001021300,0.8,34.5,6.5,32,15.4,13,18.4,2.8,446500,1313,50953,NA,1.871802177,1.029619417,2.912350665,2.564949357,2.734367509,-0.223143551,13.00919468,0.082676702,0.700282253,0.655004116,0.675173468,0.201869928,0.61695872,0.824650123,0.548159473,0.166176644,0.187404445,0.084558391,213,"South Kona",28.4,0.398591549295775
"21",21,"Census Tract 214.02, Hawaii County, Hawaii",15001021402,1e-05,25.9,4,34.6,17.8,6.6,13,7.1,401900,838,60750,NA,1.386294361,1.960094784,2.564949357,1.887069649,2.879198457,-11.51292546,12.90395858,0.030342232,0.302716688,0.353992708,0.754380807,0.284781842,0.296013172,0.738915677,0.716923439,0.129248501,0.027519699,0.182994237,214.02,"Konawaena",24.4,0.302816901408451
"22",22,"Census Tract 215.02, Hawaii County, Hawaii",15001021502,1e-05,22.2,13.1,29.9,14.5,8.6,17.2,8.2,678800,1110,63783,NA,2.57261223,2.104134154,2.844909384,2.151762203,2.674148649,-11.51292546,13.42808181,0.030342232,0.164706574,0.850993767,0.62477949,0.193696342,0.410443373,0.806832883,0.752087499,0.535928496,0.07691403,0.205221686,215.02,"Hualalai",23.1,0.26056338028169
"23",23,"Census Tract 215.04, Hawaii County, Hawaii",15001021504,0.6,17.8,7.2,37.2,10.5,3.5,12.4,9.9,350000,1137,63497,NA,1.974081026,2.292534757,2.517696473,1.252762968,2.351375257,-0.510825624,12.76568843,0.074326708,0.053980948,0.689580148,0.784429025,0.125661531,0.149653064,0.713689286,0.807009291,0.089674233,0.081971069,0.202516759,215.04,"Kealakehe",14,0.0873239436619718
"24",24,"Census Tract 215.07, Hawaii County, Hawaii",15001021507,1e-05,21.4,5.1,32.2,23.7,8.6,19.3,12.1,474300,1240,68333,NA,1.62924054,2.493205453,2.960105096,2.151762203,3.165475048,-11.51292546,13.06959531,0.030342232,0.127837234,0.511701752,0.679348465,0.526343643,0.410443373,0.82606139,0.876984594,0.210337528,0.157826649,0.266258967,215.07,"Kalaoa",32.3,0.492957746478873
"25",25,"Census Tract 215.09, Hawaii County, Hawaii",15001021509,1.5,25.1,5.2,23.4,22.5,16.1,45.2,34.6,471000,1254,66771,NA,1.648658626,3.543853682,3.811097087,2.778819272,3.113515309,0.405465108,13.06261337,0.134775961,0.289486064,0.525990827,0.386981066,0.487886628,0.665529813,0.912619076,0.910619781,0.186169587,0.161354816,0.248382924,215.09,"Kaumalumalu-Keahou",38.6,0.645070422535211
"26",26,"Census Tract 216.01, Hawaii County, Hawaii",15001021601,0.8,15.2,7.2,35.8,19,10.2,26,13.7,431800,1127,60420,NA,1.974081026,2.617395833,3.258096538,2.32238772,2.944438979,-0.223143551,12.9757178,0.082676702,0.047747854,0.689580148,0.771080795,0.343761026,0.471363048,0.869399036,0.881218394,0.158061861,0.080559802,0.178407621,216.01,"Kailua",29.2,0.428169014084507
"27",27,"Census Tract 216.04, Hawaii County, Hawaii",15001021604,0.7,19.5,7.8,22.4,24.5,10,35.9,22.9,457700,1608,72893,NA,2.054123734,3.131136911,3.580737295,2.302585093,3.198673118,-0.356674944,13.03396923,0.079618958,0.075973186,0.717981889,0.344937081,0.554510173,0.45783841,0.906033165,0.905445137,0.169587205,0.33200047,0.307538516,216.04,"Holualoa",34.5,0.549295774647887
"28",28,"Census Tract 217.02, Hawaii County, Hawaii",15001021702,1.6,31.8,6.9,29.8,17.3,11.5,13.9,1e-05,386900,1466,66842,NA,1.931521412,-11.51292546,2.63188884,2.442347035,2.850706502,0.470003629,12.86592154,0.157238622,0.558155945,0.678701635,0.623838645,0.25720334,0.544807715,0.748912149,0.236093144,0.118075973,0.253322357,0.250617429,217.02,"Waimea-Pu‰Û÷u Anahulu",28.8,0.414084507042254
"29",29,"Census Tract 217.04, Hawaii County, Hawaii",15001021704,0.3,27.3,5.8,19.1,25.4,12.7,51.3,36.2,405300,1491,74138,NA,1.757857918,3.589059119,3.937690752,2.541601993,3.234749174,-1.203972804,12.91238281,0.066976361,0.35211102,0.585146419,0.238680466,0.587439727,0.613195343,0.914735976,0.910737387,0.129483712,0.281077267,0.326825826,217.04,"Kawaihae-Waikoloa",38.1,0.633802816901408
"30",30,"Census Tract 218, Hawaii County, Hawaii",15001021800,1.7,32.3,6.2,38.9,17.4,5,22,6.2,365800,1042,67614,NA,1.824549292,1.824549292,3.091042453,1.609437912,2.856470206,0.530628251,12.80984201,0.171174879,0.565329884,0.635011173,0.809361402,0.273021287,0.219040339,0.833117723,0.690579795,0.105609785,0.06397742,0.253675173,218,"North Kohala",22.4,0.245070422535211
"31",31,"Census Tract 219.02, Hawaii County, Hawaii",15001021902,5.2,37.7,6.7,42.8,11.1,5.5,16.7,3.4,362100,855,59939,NA,1.902107526,1.223775432,2.815408719,1.704748092,2.406945108,1.648658626,12.7996757,0.509761261,0.789015642,0.659414324,0.858285311,0.129189698,0.23368223,0.800717394,0.569152064,0.104080913,0.027872516,0.173585793,219.02,"Honoka‰Û÷a-Kukuihaele",16.6,0.126760563380282
"32",32,"Census Tract 220, Hawaii County, Hawaii",15001022000,3.2,39.3,5.8,34.8,13.4,7.5,19,1e-05,305400,1185,60231,NA,1.757857918,-11.51292546,2.944438979,2.014903021,2.595254707,1.16315081,12.62937767,0.306068446,0.818887451,0.585146419,0.757732565,0.174115018,0.337527931,0.825943785,0.236093144,0.041397154,0.105374574,0.17605551,220,"Pa‰Û÷auhau-Pa‰Û÷auilo",20.9,0.215492957746479
"33",33,"Census Tract 221.02, Hawaii County, Hawaii",15001022102,8.3,45.3,10.9,28.2,16.6,6.9,32.7,14,287500,810,45234,NA,2.388762789,2.63905733,3.487375078,1.931521412,2.809402695,2.116255515,12.56897814,0.652063977,0.87416206,0.828942726,0.569504881,0.241561802,0.314418441,0.891332471,0.881394802,0.03622251,0.025755616,0.039750676,221.02,"North Hilo",23.5,0.280281690140845
"34",34,"Census Tract 9900, Hawaii County, Hawaii",15001990000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9900,NA,NA,NA
"35",35,"Census Tract 9901, Hawaii County, Hawaii",15001990100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9901,NA,NA,NA
"36",36,"Census Tract 9903, Hawaii County, Hawaii",15001990300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9903,NA,NA,NA
"37",37,"Census Tract 9904, Hawaii County, Hawaii",15001990400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9904,NA,NA,NA
"38",38,"Census Tract 9905, Hawaii County, Hawaii",15001990500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9905,NA,NA,NA
"39",39,"Census Tract 9906, Hawaii County, Hawaii",15001990600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9906,NA,NA,NA
"40",40,"Census Tract 9907, Hawaii County, Hawaii",15001990700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9907,NA,NA,NA
"41",41,"Census Tract 9908, Hawaii County, Hawaii",15001990800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9908,NA,NA,NA
"42",42,"Census Tract 9909, Hawaii County, Hawaii",15001990900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9909,NA,NA,NA
"43",43,"Census Tract 9910, Hawaii County, Hawaii",15001991000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9910,NA,NA,NA
"44",44,"Census Tract 9911, Hawaii County, Hawaii",15001991100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9911,NA,NA,NA
"45",45,"Census Tract 9912, Hawaii County, Hawaii",15001991200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9912,NA,NA,NA
"46",46,"Census Tract 9913, Hawaii County, Hawaii",15001991300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9913,NA,NA,NA
"47",47,"Census Tract 9914, Hawaii County, Hawaii",15001991400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9914,NA,NA,NA
"48",48,"Census Tract 9915, Hawaii County, Hawaii",15001991500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9915,NA,NA,NA
"49",49,"Census Tract 9916, Hawaii County, Hawaii",15001991600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9916,NA,NA,NA
"50",50,"Census Tract 9917, Hawaii County, Hawaii",15001991700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9917,NA,NA,NA
"51",51,"Census Tract 1.06, Honolulu County, Hawaii",15003000106,4.3,34.2,5.1,14.1,32.7,25.9,7.1,5.1,678300,2154,100991,100991,1.62924054,1.62924054,1.960094784,3.254242969,3.487375078,1.458615023,13.42734495,0.417558509,0.682935435,0.511701752,0.084911208,0.838057156,0.865341644,0.505527461,0.642596731,0.532870751,0.580618605,0.648006586,1.06,"Hahaione-Mariners Ridge",58.6,0.845070422535211
"52",52,"Census Tract 1.07, Honolulu County, Hawaii",15003000107,1.4,32.6,1.6,13.2,34.2,20.9,5,10.9,831700,2462,117813,117813,0.470003629,2.388762789,1.609437912,3.039749159,3.532225644,0.336472237,13.63122708,0.116488298,0.601317182,0.079207339,0.062448548,0.890215218,0.794131483,0.363577561,0.847289192,0.677584382,0.710866753,0.82647301,1.07,"Kuapa Isle",55.1,0.825352112676056
"53",53,"Census Tract 1.08, Honolulu County, Hawaii",15003000108,5,31.1,4.2,13.7,27.9,27,8.8,1e-05,852300,3365,103857,103857,1.435084525,-11.51292546,2.174751721,3.295836866,3.328626689,1.609437912,13.65569386,0.496236622,0.544748912,0.380218746,0.072856639,0.694166765,0.887980713,0.592320358,0.236093144,0.721568858,0.869516641,0.685699165,1.08,"Hawaii Kai Marina",54.9,0.822535211267606
"54",54,"Census Tract 1.10, Honolulu County, Hawaii",15003000110,1.7,38.8,4.6,16.1,30.5,22.5,3.7,1e-05,830100,2985,123929,123929,1.526056303,-11.51292546,1.30833282,3.113515309,3.417726684,0.530628251,13.62930145,0.171174879,0.80953781,0.462836646,0.117076326,0.78919205,0.813007174,0.272433259,0.236093144,0.672586146,0.824179701,0.858167706,1.1,"Kalama Valley",53,0.804225352112676
"55",55,"Census Tract 1.11, Honolulu County, Hawaii",15003000111,3,34.3,0.6,17.7,31.7,17.4,0.6,1e-05,825400,NA,124444,124444,-0.510825624,-11.51292546,-0.510825624,2.856470206,3.456316681,1.098612289,13.6236234,0.277019875,0.692814301,0.04533694,0.174115018,0.824826532,0.701928731,0.083088322,0.236093144,0.660766788,NA,0.865635658,1.11,"Lunalilo Park Subdivision",49.1,0.763380281690141
"56",56,"Census Tract 1.12, Honolulu County, Hawaii",15003000112,2.2,33.9,3.8,22,25.2,24.3,9.3,1e-05,709700,3057,101855,101855,1.335001067,-11.51292546,2.2300144,3.19047635,3.226843995,0.78845736,13.47259762,0.19957662,0.653534047,0.330059979,0.329765965,0.578972127,0.844172645,0.598612254,0.236093144,0.574620722,0.842761378,0.665765024,1.12,"Koko Marina",49.5,0.773239436619718
"57",57,"Census Tract 1.14, Honolulu County, Hawaii",15003000114,1,31,4.2,7,37.3,34.4,23.2,1e-05,1519400,3393,146042,146042,1.435084525,-11.51292546,3.144152279,3.538056564,3.618993327,0,14.23382608,0.087910149,0.537633776,0.380218746,0.009820064,0.915618017,0.930789133,0.851522992,0.236093144,0.818946254,0.872809597,0.889509585,1.14,"Portlock",71.7,0.887323943661972
"58",58,"Census Tract 2, Honolulu County, Hawaii",15003000200,3.3,29.1,0.6,17,30.6,23.1,9.5,1e-05,849600,2404,114481,114481,-0.510825624,-11.51292546,2.251291799,3.139832618,3.421000009,1.193922468,13.65252093,0.323591674,0.453134188,0.04533694,0.158591085,0.794719511,0.832059273,0.60678584,0.236093144,0.712042808,0.691814654,0.783429378,2,"Kuliouou",53.7,0.814084507042254
"59",59,"Census Tract 3.01, Honolulu County, Hawaii",15003000301,1.3,26.8,2.7,15.6,33,22.9,14.1,1e-05,1025500,2438,118229,118229,0.993251773,-11.51292546,2.646174797,3.131136911,3.496507561,0.262364264,13.84069086,0.103904504,0.333352934,0.165647419,0.10466894,0.846524756,0.823121251,0.752087499,0.236093144,0.798776902,0.701752323,0.834293779,3.01,"Aina Haina-Hawaii Loa Ridge",55.9,0.830985915492958
"60",60,"Census Tract 3.02, Honolulu County, Hawaii",15003000302,4.8,26.5,2,19.8,27.6,20.5,5.5,1e-05,942700,1667,113875,113875,0.693147181,-11.51292546,1.704748092,3.020424886,3.317815773,1.568615918,13.75650338,0.467423262,0.314536046,0.115371046,0.264906504,0.687463248,0.789662472,0.394625426,0.236093144,0.748382924,0.388509938,0.757673762,3.02,"Wailupe",48.1,0.743661971830986
"61",61,"Census Tract 4.01, Honolulu County, Hawaii",15003000401,1.6,26.7,1.8,12.5,33,31.2,4.4,9.1,948300,2466,123047,123047,0.587786665,2.208274414,1.481604541,3.440418095,3.496507561,0.470003629,13.76242619,0.157238622,0.323474068,0.099435493,0.04427849,0.846524756,0.912560273,0.325120546,0.779430789,0.755674468,0.715688581,0.853287075,4.01,"Waialae Nui Ridge-Ainakoa",64.2,0.867605633802817
"62",62,"Census Tract 4.02, Honolulu County, Hawaii",15003000402,0.5,26.5,0.5,9.6,35.6,33.6,10.3,1e-05,1331800,NA,157708,157708,-0.693147181,-11.51292546,2.332143895,3.514526067,3.572345638,-0.693147181,14.10204197,0.068740445,0.314536046,0.038515818,0.027225685,0.902093379,0.922439139,0.65529813,0.236093144,0.812360343,NA,0.892214513,4.02,"Waialae Iki",69.2,0.88169014084507
"63",63,"Census Tract 5, Honolulu County, Hawaii",15003000500,3.3,27,1.5,13.7,33.3,28.7,20.5,17.1,1632400,3325,121544,121544,0.405465108,2.839078464,3.020424886,3.356897123,3.505557397,1.193922468,14.30556188,0.323591674,0.346171939,0.070386922,0.072856639,0.858638128,0.893978596,0.831177232,0.895566271,0.824003293,0.864341997,0.845995531,5,"Waialae-Kahala",62,0.859154929577465
"64",64,"Census Tract 6, Honolulu County, Hawaii",15003000600,1,30.1,5.8,9,37.6,30,14.2,1e-05,NA,3094,141563,141563,1.757857918,-11.51292546,2.653241965,3.401197382,3.62700405,0,NA,0.087910149,0.498706339,0.585146419,0.022756674,0.918675761,0.900682112,0.756732918,0.236093144,NA,0.854345525,0.886451841,6,"Diamond Head",67.6,0.876056338028169
"65",65,"Census Tract 7, Honolulu County, Hawaii",15003000700,4.6,21.1,3.8,29.1,26.1,13.5,9.6,1e-05,863500,1910,88681,88681,1.335001067,-11.51292546,2.261763098,2.602689685,3.261935314,1.526056303,13.66874918,0.455427496,0.11948724,0.330059979,0.60190521,0.645301658,0.633599906,0.614253793,0.236093144,0.727037516,0.494884159,0.480889098,7,"Kaimuki: 22nd Avenue",39.6,0.661971830985915
"66",66,"Census Tract 8, Honolulu County, Hawaii",15003000800,4.7,22.5,2.2,26.7,31.8,15.4,12.1,6.4,880400,1530,91838,91838,0.78845736,1.85629799,2.493205453,2.734367509,3.45946629,1.547562509,13.68813163,0.460366929,0.183699871,0.131071387,0.497059861,0.828531107,0.662001646,0.711101964,0.698341762,0.729154416,0.291191344,0.511407738,8,"Kaimuki: Kapiolani Community College",47.2,0.738028169014085
"67",67,"Census Tract 9.01, Honolulu County, Hawaii",15003000901,5.5,23.1,4.2,20.1,27.8,16.7,6.9,5.7,626800,2098,71875,71875,1.435084525,1.740466175,1.931521412,2.815408719,3.325036021,1.704748092,13.34838279,0.524285546,0.230624485,0.380218746,0.278783959,0.690932612,0.67987769,0.492061625,0.660766788,0.441079619,0.570210514,0.293249441,9.01,"Waialae Nui Valley",44.5,0.692957746478873
"68",68,"Census Tract 9.02, Honolulu County, Hawaii",15003000902,3.2,23.7,3.6,18.1,33.9,22.6,14.4,9.2,946700,1961,114375,114375,1.280933845,2.219203484,2.667228207,3.117949906,3.523415014,1.16315081,13.76073753,0.306068446,0.243149477,0.306538869,0.19005057,0.871809949,0.817005763,0.759731859,0.783311772,0.751852287,0.516288369,0.77901917,9.02,"Maunalani Heights",56.5,0.83943661971831
