,Tract Name,geo,affgeoid,Public Transportation,Average Commute Time,Unemployment Rate,Home Vacancy Rate,Rental Vacancy Rate,Median Home Value,Median Rent,Median Income,Population with Higher Ed Degree
157,Newtown,"Census Tract 78.09, Honolulu County, Hawaii",15003007809,59,53,25,4,24,54,53,73,74
158,Royal Summit,"Census Tract 78.10, Honolulu County, Hawaii",15003007810,48,50,20,14,24,56,76,81,78
159,Pearl Country Club,"Census Tract 78.11, Honolulu County, Hawaii",15003007811,45,40,23,58,68,22,65,58,58
160,Hale Mohalu Hospital,"Census Tract 80.01, Honolulu County, Hawaii",15003008001,87,49,75,35,24,32,3,5,12
161,Lower Waiau,"Census Tract 80.02, Honolulu County, Hawaii",15003008002,22,37,10,45,24,35,44,46,27
162,Manana,"Census Tract 80.03, Honolulu County, Hawaii",15003008003,77,53,74,38,62,4,18,20,21
163,Pacific Palisades,"Census Tract 80.05, Honolulu County, Hawaii",15003008005,55,73,43,18,24,37,55,64,39
164,Pearl City,"Census Tract 80.06, Honolulu County, Hawaii",15003008006,51,68,59,22,24,44,42,59,38
165,Pearl City Highlands,"Census Tract 80.07, Honolulu County, Hawaii",15003008007,69,54,48,8,24,48,63,76,27
166,Iroquois Point,"Census Tract 83.01, Honolulu County, Hawaii",15003008301,31,87,80,58,62,NA,67,43,23
167,Campbell High School,"Census Tract 83.02, Honolulu County, Hawaii",15003008302,87,87,51,55,24,14,46,49,5
168,Ewa Beach,"Census Tract 84.02, Honolulu County, Hawaii",15003008402,82,91,61,60,61,24,28,45,10
169,Holomua School,"Census Tract 84.05, Honolulu County, Hawaii",15003008405,74,86,14,66,80,21,68,71,26
170,Hawaii Prince Golf Course,"Census Tract 84.06, Honolulu County, Hawaii",15003008406,37,79,38,16,24,33,85,74,61
171,Ocean Pointe,"Census Tract 84.07, Honolulu County, Hawaii",15003008407,40,92,53,30,24,32,80,71,50
172,Hoakalei Country Club,"Census Tract 84.08, Honolulu County, Hawaii",15003008408,46,80,45,49,24,35,78,83,66
173,Coral Creek Golf Course,"Census Tract 84.10, Honolulu County, Hawaii",15003008410,42,79,11,26,88,33,81,74,48
174,Geiger Road,"Census Tract 84.11, Honolulu County, Hawaii",15003008411,64,85,25,52,79,15,34,42,28
175,Ewa Gentry,"Census Tract 84.12, Honolulu County, Hawaii",15003008412,40,80,54,43,83,4,39,36,41
176,Kalaeloa,"Census Tract 85.02, Honolulu County, Hawaii",15003008502,80,76,83,72,80,NA,74,26,3
177,Kapolei Golf Course,"Census Tract 86.06, Honolulu County, Hawaii",15003008606,64,84,64,14,24,26,30,50,45
178,Ko Olina-Honokai Hale,"Census Tract 86.09, Honolulu County, Hawaii",15003008609,36,78,28,84,88,21,66,59,42
179,Ko Olina Resort,"Census Tract 86.10, Honolulu County, Hawaii",15003008610,9,79,71,92,91,55,85,72,80
180,Kahe,"Census Tract 86.11, Honolulu County, Hawaii",15003008611,76,59,88,89,24,NA,79,41,89
181,Upper Makakilo,"Census Tract 86.12, Honolulu County, Hawaii",15003008612,18,85,77,54,77,30,47,56,57
182,Makakilo: Wainohia Street,"Census Tract 86.13, Honolulu County, Hawaii",15003008613,47,72,54,34,90,17,68,71,21
183,Kunia West,"Census Tract 86.14, Honolulu County, Hawaii",15003008614,57,64,31,44,24,31,45,61,54
184,Ewa Villages,"Census Tract 86.17, Honolulu County, Hawaii",15003008617,70,79,43,27,24,24,4,48,15
185,Lower Makakilo,"Census Tract 86.22, Honolulu County, Hawaii",15003008622,65,75,73,36,24,32,62,72,15
186,Leeward Community College,"Census Tract 87.01, Honolulu County, Hawaii",15003008701,89,69,36,46,79,37,17,57,12
187,St. Joseph School,"Census Tract 87.02, Honolulu County, Hawaii",15003008702,92,76,54,4,24,13,10,8,14
188,West Loch,"Census Tract 87.03, Honolulu County, Hawaii",15003008703,90,72,84,40,71,23,13,16,13
189,Managers Drive,"Census Tract 88, Honolulu County, Hawaii",15003008800,76,59,38,32,64,41,2,82,16
190,Mililani Golf Course,"Census Tract 89.06, Honolulu County, Hawaii",15003008906,60,56,28,40,74,27,54,53,58
191,Mililani High School,"Census Tract 89.07, Honolulu County, Hawaii",15003008907,59,51,62,32,24,28,13,29,38
192,Mililani Marketplace,"Census Tract 89.08, Honolulu County, Hawaii",15003008908,34,61,14,23,24,38,68,66,61
193,Mililani District Park,"Census Tract 89.09, Honolulu County, Hawaii",15003008909,34,54,15,4,24,26,44,44,46
194,August Ahrens School,"Census Tract 89.12, Honolulu County, Hawaii",15003008912,84,56,48,29,24,42,34,85,18
195,Robinson Heights,"Census Tract 89.13, Honolulu County, Hawaii",15003008913,46,74,35,16,24,33,12,72,21
196,Honowai School,"Census Tract 89.14, Honolulu County, Hawaii",15003008914,91,83,34,50,24,1,45,26,5
197,Waipio Acres,"Census Tract 89.15, Honolulu County, Hawaii",15003008915,65,47,74,52,81,8,29,21,31
198,Mililani Town Center,"Census Tract 89.17, Honolulu County, Hawaii",15003008917,22,64,15,25,24,43,49,82,63
199,Mililani: Nob Hill,"Census Tract 89.18, Honolulu County, Hawaii",15003008918,37,63,73,9,24,29,47,49,60
200,Waipio Gentry,"Census Tract 89.20, Honolulu County, Hawaii",15003008920,21,48,54,14,63,15,41,32,46
201,Waipio,"Census Tract 89.21, Honolulu County, Hawaii",15003008921,60,42,17,4,24,29,49,41,7
202,Waikele,"Census Tract 89.22, Honolulu County, Hawaii",15003008922,53,57,45,31,76,16,56,55,75
203,Seaview,"Census Tract 89.23, Honolulu County, Hawaii",15003008923,46,56,15,31,60,24,29,37,58
204,Royal Kunia,"Census Tract 89.24, Honolulu County, Hawaii",15003008924,62,67,23,20,89,40,73,80,34
205,Village Park,"Census Tract 89.25, Honolulu County, Hawaii",15003008925,66,74,66,42,55,23,63,52,31
206,Laulani Valley-Mililani Technology Park,"Census Tract 89.26, Honolulu County, Hawaii",15003008926,25,31,57,47,60,10,51,35,61
207,Koolani Drive,"Census Tract 89.27, Honolulu County, Hawaii",15003008927,18,61,12,22,56,47,62,74,78
208,Mililani Mauka Middle School,"Census Tract 89.28, Honolulu County, Hawaii",15003008928,59,59,46,4,24,52,87,85,72
209,Mililani Mauka-Meheula Parkway,"Census Tract 89.29, Honolulu County, Hawaii",15003008929,50,59,2,51,24,12,44,28,68
210,Mililani: Ainamakua Drive,"Census Tract 89.30, Honolulu County, Hawaii",15003008930,12,60,18,27,24,55,86,87,82
211,Waiawa,"Census Tract 89.31, Honolulu County, Hawaii",15003008931,25,77,2,4,24,65,NA,90,70
212,Wheeler-East Range,"Census Tract 90, Honolulu County, Hawaii",15003009000,17,6,69,54,53,NA,70,19,40
213,Kaukonahua Road,"Census Tract 91, Honolulu County, Hawaii",15003009100,71,43,70,14,58,20,26,22,20
214,Wahiawa Mauka,"Census Tract 92, Honolulu County, Hawaii",15003009200,72,55,68,29,24,25,33,32,25
215,Wahiawa Waena,"Census Tract 93, Honolulu County, Hawaii",15003009300,73,63,54,24,62,25,4,3,17
216,Wahiawa Makai,"Census Tract 94, Honolulu County, Hawaii",15003009400,69,43,59,68,24,27,17,4,4
217,Kolekole Avenue,"Census Tract 95.01, Honolulu County, Hawaii",15003009501,3,3,89,34,24,NA,76,8,6
218,Menoher Street,"Census Tract 95.02, Honolulu County, Hawaii",15003009502,3,4,92,56,24,NA,78,18,22
219,Foote Avenue,"Census Tract 95.03, Honolulu County, Hawaii",15003009503,3,1,85,4,24,NA,80,35,18
220,Leilehua Avenue,"Census Tract 95.04, Honolulu County, Hawaii",15003009504,3,5,92,62,24,NA,63,42,52
221,Schofield: McCarthy Field,"Census Tract 95.07, Honolulu County, Hawaii",15003009507,3,1,84,71,24,NA,62,6,4
222,Maili,"Census Tract 96.03, Honolulu County, Hawaii",15003009603,83,86,85,68,62,12,24,18,10
223,Lualualei Transmitter,"Census Tract 96.08, Honolulu County, Hawaii",15003009608,50,83,87,64,24,5,36,24,3
224,Waianae Kai,"Census Tract 97.01, Honolulu County, Hawaii",15003009701,90,88,91,82,81,2,5,2,1
225,Lualualei-Camp Waianae,"Census Tract 97.03, Honolulu County, Hawaii",15003009703,80,89,82,29,24,8,15,40,7
226,Lualualei: Halona Road,"Census Tract 97.04, Honolulu County, Hawaii",15003009704,68,86,81,48,24,14,7,47,7
227,Makua Valley,"Census Tract 98.01, Honolulu County, Hawaii",15003009801,75,90,90,90,87,1,11,10,37
228,Makaha,"Census Tract 98.02, Honolulu County, Hawaii",15003009802,82,92,89,83,54,12,23,18,6
229,Haleiwa,"Census Tract 99.02, Honolulu County, Hawaii",15003009902,47,56,69,76,24,34,20,16,17
230,Kaena Point,"Census Tract 99.04, Honolulu County, Hawaii",15003009904,36,71,48,73,48,45,37,34,53
231,Kawailoa,"Census Tract 100, Honolulu County, Hawaii",15003010000,13,20,77,78,24,77,60,12,33
232,Waimea-Kahuku,"Census Tract 101, Honolulu County, Hawaii",15003010100,29,67,26,86,50,70,50,54,61
233,Hauula-Kaaawa,"Census Tract 102.01, Honolulu County, Hawaii",15003010201,43,81,67,84,86,36,31,28,47
234,Laie,"Census Tract 102.02, Honolulu County, Hawaii",15003010202,25,17,38,80,24,46,32,52,73
235,Kahaluu-Waikane,"Census Tract 103.03, Honolulu County, Hawaii",15003010303,10,62,56,42,24,59,35,38,35
236,Ahuimanu,"Census Tract 103.05, Honolulu County, Hawaii",15003010305,37,70,60,64,74,58,19,51,56
237,Haiku,"Census Tract 103.06, Honolulu County, Hawaii",15003010306,39,59,38,4,24,42,53,75,79
